tranche,key,original_url,timestamp,digest,local_file
B,1697,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1697&e=,20070828223438,AQSQ7IG5OQKM6PQVQGEVN5TTCKKLV2ZM,1697_20070828223438.html
B,1698,https://www.bsnpr.com/jugadores/jugador.asp?id=1698&e=0,20180826113430,BGED5USK4VRAYCQFNOGWY2AUG4UJVXCR,1698_20180826113430.html
B,1699,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1699&e=,20070829040750,JLKBZKPBTV4VPT2RHXHTERTEO667P3X7,1699_20070829040750.html
B,1701,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1701&e=,20070829040413,E5NLNML6BPNO3XPLVZ5RFV73XTDVYS5Z,1701_20070829040413.html
B,1704,https://bsnpr.com/jugadores/jugador.asp?id=1704&e=0,20180713014339,VSVTGIMTZPYRODW4SXKU2H37T67YKLTU,1704_20180713014339.html
B,1711,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1711&e=,20070828224622,UYZO2FKKETLZ24TR7PIAQLR4PAQEZSB6,1711_20070828224622.html
B,1712,http://www.bsnpr.com/jugadores/jugador.asp?id=1712,20171029174335,J4E5YB3SWY4EMYRUDDF4KRB32V65DB22,1712_20171029174335.html
B,1722,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1722&e=14,20090429221327,SHIMMPRJPJI6W57MKXOCAOGVUDQ75OVG,1722_20090429221327.html
B,1725,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1725&e=,20070829035100,HKQNIHRG2VKSTI6QLIUOZNVW6Y7GNQAN,1725_20070829035100.html
B,1728,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1728&e=,20070829040801,UV2NNFEDD2M3XMLBX3FFWIJM3Z454SSW,1728_20070829040801.html
B,1737,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1737&e=9,20091207220650,24PRJSCAKEJ3YNWMCBOCAY7QJKSWGMMO,1737_20091207220650.html
B,1738,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1738&e=,20070829035254,E3FTBVXVTJRXHYYD7EKG4FUEY7RAAZPU,1738_20070829035254.html
B,1739,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1739&e=,20170715113542,QPGIA5FUZ23J4YFS6HLQCUM67BUNXKGD,1739_20170715113542.html
B,1742,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1742&e=,20070828230510,VYV2NXW7PXTYDJOE2APUFRYJSEVC3GB6,1742_20070828230510.html
B,1745,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1745&e=,20070829035457,LS3CPDT3PDBTRP77Z2HXXY7I7EDWSSTX,1745_20070829035457.html
B,1748,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1748&e=,20070828223449,PZJZMBJCHGM4W3GSZSOQTGYXBBVPKYFB,1748_20070828223449.html
B,1749,http://www.bsnpr.com/jugadores/jugador.asp?id=1749,20170909053235,BZJHHGNZZ7UZZUCKYWV67Y7RYRZVMDJI,1749_20170909053235.html
B,1750,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1750&e=,20070829041626,NGHOUDEDWMOUSXXX7YT5MOFEZEJTVKDF,1750_20070829041626.html
B,1753,http://bsnpr.com:80/jugadores/jugador.asp?id=1753&e=,20080803172233,UOXCBBXEBMHM2A676KT7UBH2YIGDLGEX,1753_20080803172233.html
B,1755,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1755&e=,20070829041410,3XVCIDUWZAQSWF52S6DXQ7LRFOISH2YO,1755_20070829041410.html
