key,original_url,timestamp,digest,roster_team,local_file
5IWTDLXLQWFTXOXEOSWE6WWUQ6GR76OI,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462786RX3B&e=SANTURCE,20050414064648,5IWTDLXLQWFTXOXEOSWE6WWUQ6GR76OI,SANTURCE,5IWTDLXLQWFTXOXEOSWE6WWUQ6GR76OI.html
5K4S6FG2LUZXMV5MQTZJWVOXZ2IYL6ZD,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=ULITXEGTVW&e=COAMO,20050415172819,5K4S6FG2LUZXMV5MQTZJWVOXZ2IYL6ZD,COAMO,5K4S6FG2LUZXMV5MQTZJWVOXZ2IYL6ZD.html
5OSMSXC56ZOKS46QSG6ZFFEKL6CPETSF,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462696RWZC&e=CAROLINA,20050414064752,5OSMSXC56ZOKS46QSG6ZFFEKL6CPETSF,CAROLINA,5OSMSXC56ZOKS46QSG6ZFFEKL6CPETSF.html
5VVA2O3FCBHI774WC3QHIKHNU6ZTIG47,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462736RX0S&e=BAYAMON,20050414064612,5VVA2O3FCBHI774WC3QHIKHNU6ZTIG47,BAYAMON,5VVA2O3FCBHI774WC3QHIKHNU6ZTIG47.html
63OMKILLEVHXCJTWDL3IU7D36GHW63GV,http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462666RWXU&e=ARECIBO,20061119233943,63OMKILLEVHXCJTWDL3IU7D36GHW63GV,ARECIBO,63OMKILLEVHXCJTWDL3IU7D36GHW63GV.html
63RDH4QQPHFW4K6TCZAKL2XC5PSXEQJY,http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462726RX0K&e=CAGUAS,20061119234311,63RDH4QQPHFW4K6TCZAKL2XC5PSXEQJY,CAGUAS,63RDH4QQPHFW4K6TCZAKL2XC5PSXEQJY.html
66R4Z6NRHBKO5EH6QZKPZJFOATB6VSOL,http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462766RX26&e=ARECIBO,20061119234350,66R4Z6NRHBKO5EH6QZKPZJFOATB6VSOL,ARECIBO,66R4Z6NRHBKO5EH6QZKPZJFOATB6VSOL.html
6I3KGY2GOHZBJKZUJJXE2UEAJQLS2YXA,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462746RX1G&e=ISABELA,20050414065028,6I3KGY2GOHZBJKZUJJXE2UEAJQLS2YXA,ISABELA,6I3KGY2GOHZBJKZUJJXE2UEAJQLS2YXA.html
6KNSPFWOOG3YDN5OZLZRTXFFKWFO2OJN,http://www.bsnpr.com:80/jugador05.asp?r2=462716RX03&e=COAMO,20050321233315,6KNSPFWOOG3YDN5OZLZRTXFFKWFO2OJN,COAMO,6KNSPFWOOG3YDN5OZLZRTXFFKWFO2OJN.html
6KUPJIETMVI4TSRKQ3AUM5SKUMEVSODJ,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462696RWZD&e=QUEBRADILLAS,20050907083057,6KUPJIETMVI4TSRKQ3AUM5SKUMEVSODJ,QUEBRADILLAS,6KUPJIETMVI4TSRKQ3AUM5SKUMEVSODJ.html
6NWDJSVJJAN7CFT6R7B2VW4EGA4DWWOU,http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462786RX35&e=SAN%20GERMAN,20061119235111,6NWDJSVJJAN7CFT6R7B2VW4EGA4DWWOU,SAN GERMAN,6NWDJSVJJAN7CFT6R7B2VW4EGA4DWWOU.html
6OSNPNABUDN6CRQGCTCXXPSIXRTMZBEJ,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462786RX3B&e=,20050322231039,6OSNPNABUDN6CRQGCTCXXPSIXRTMZBEJ,,6OSNPNABUDN6CRQGCTCXXPSIXRTMZBEJ.html
6P4JOOTLJBFJVD6C5LSGRQ74KJUV7GXV,http://www.bsnpr.com:80/jugador05.asp?r2=462786RX3D&e=PONCE,20050321233435,6P4JOOTLJBFJVD6C5LSGRQ74KJUV7GXV,PONCE,6P4JOOTLJBFJVD6C5LSGRQ74KJUV7GXV.html
6PI2ZOANRGE6OUKL3HGE3DRYXQIFBF4J,http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462736RX0R&e=ARECIBO,20061119235854,6PI2ZOANRGE6OUKL3HGE3DRYXQIFBF4J,ARECIBO,6PI2ZOANRGE6OUKL3HGE3DRYXQIFBF4J.html
6PKFUPSRC5MS5CMGEVYOK7W57Y6SFGKZ,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462696RWZA&e=,20050322103354,6PKFUPSRC5MS5CMGEVYOK7W57Y6SFGKZ,,6PKFUPSRC5MS5CMGEVYOK7W57Y6SFGKZ.html
6QBBKTXOHDEMXUEEVAPYBL5HA46FBQ43,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462686RWYO&e=PONCE,20050414064728,6QBBKTXOHDEMXUEEVAPYBL5HA46FBQ43,PONCE,6QBBKTXOHDEMXUEEVAPYBL5HA46FBQ43.html
6QM6P6VIGNP3F43OH6UCNKDX4ZHPDVKI,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=IQKNMRYDAC&e=,20050322231418,6QM6P6VIGNP3F43OH6UCNKDX4ZHPDVKI,,6QM6P6VIGNP3F43OH6UCNKDX4ZHPDVKI.html
