key,original_url,timestamp,digest,roster_team,local_file
5ML6J42U3FEEPWBVFVJCUW65R7NJDAU6,http://www.bsnpr.com:80/jug05.asp?r=00522,20070223161708,5ML6J42U3FEEPWBVFVJCUW65R7NJDAU6,,5ML6J42U3FEEPWBVFVJCUW65R7NJDAU6.html
5MU5VRMTVXJ63LE5TTHJJQSZLLPGQF7Q,http://www.bsnpr.com:80/jug05.asp?r3=+++++&r2=IDMKNHYNVN&r=00565&e=,20070404011401,5MU5VRMTVXJ63LE5TTHJJQSZLLPGQF7Q,,5MU5VRMTVXJ63LE5TTHJJQSZLLPGQF7Q.html
5PVKX4UC26HPVGOVIZXIELXVLRG76HJD,http://www.bsnpr.com:80/jug05.asp?r2=462686RWYP&r=00055&e=CAGUAS,20050903213008,5PVKX4UC26HPVGOVIZXIELXVLRG76HJD,CAGUAS,5PVKX4UC26HPVGOVIZXIELXVLRG76HJD.html
5RXAUEC3QENZ4K4H4BUMVRUAKJIM6ORL,http://www.bsnpr.com:80/jug05.asp?r3=00062&r2=462686RWYV&r=00066&e=,20061007023720,5RXAUEC3QENZ4K4H4BUMVRUAKJIM6ORL,,5RXAUEC3QENZ4K4H4BUMVRUAKJIM6ORL.html
5T5P4BA4XBTUTOLNJZWSBQJBTNUFLHPE,http://www.bsnpr.com:80/jug05.asp?r2=KVRFULQVQD&r=SXFEF&e=ISABELA,20050409234049,5T5P4BA4XBTUTOLNJZWSBQJBTNUFLHPE,ISABELA,5T5P4BA4XBTUTOLNJZWSBQJBTNUFLHPE.html
5UVENR2EQCAHX3RFCITQQMPZKPMTNNZN,http://www.bsnpr.com:80/jug05.asp?r=00104,20070224202330,5UVENR2EQCAHX3RFCITQQMPZKPMTNNZN,,5UVENR2EQCAHX3RFCITQQMPZKPMTNNZN.html
5XQJ37S27CMZYJAG22VS6J5IVZPSI7GH,http://www.bsnpr.com:80/jug05.asp?r2=FJAGTOKQGG&r=NAMLG&e=ISABELA,20050928101221,5XQJ37S27CMZYJAG22VS6J5IVZPSI7GH,ISABELA,5XQJ37S27CMZYJAG22VS6J5IVZPSI7GH.html
5YVG6Z5O3U7DUG47KRU2JYNHTEOQNYTX,http://www.bsnpr.com:80/jug05.asp?r3=00199&r2=462756RX21&r=00082&e=,20061208064021,5YVG6Z5O3U7DUG47KRU2JYNHTEOQNYTX,,5YVG6Z5O3U7DUG47KRU2JYNHTEOQNYTX.html
64KNLFRPIIYGTEJQT4RY6WFDP33RIC4W,http://www.bsnpr.com:80/jug05.asp?r2=OLQUXXXGVB&r=SQUAX&e=PONCE,20051001051615,64KNLFRPIIYGTEJQT4RY6WFDP33RIC4W,PONCE,64KNLFRPIIYGTEJQT4RY6WFDP33RIC4W.html
65DJRPDU67N6ZW4RJXHPR4BIIUI2FLBU,http://www.bsnpr.com:80/jug05.asp?r2=462706RWZQ&r=00101&e=ARECIBO,20050924073312,65DJRPDU67N6ZW4RJXHPR4BIIUI2FLBU,ARECIBO,65DJRPDU67N6ZW4RJXHPR4BIIUI2FLBU.html
66IE3B2FE562V4TW2VBXVD7RMARQGBMO,http://www.bsnpr.com:80/jug05.asp?r3=00011&r2=462666RWXV&r=00004&e=,20061005151722,66IE3B2FE562V4TW2VBXVD7RMARQGBMO,,66IE3B2FE562V4TW2VBXVD7RMARQGBMO.html
6E33P4NQPGURL55DUVROPBRJUQXGHVP7,http://www.bsnpr.com:80/jug05.asp?r3=JQBJK&r2=SCJTNCXIFZ&r=00508&e=,20070404013851,6E33P4NQPGURL55DUVROPBRJUQXGHVP7,,6E33P4NQPGURL55DUVROPBRJUQXGHVP7.html
6EJS4JZJ42VXM25CTNHM7GISGVKMB3JY,http://www.bsnpr.com:80/jug05.asp?r2=462706RWZT&r3=00105&e=COAMO,20050501125353,6EJS4JZJ42VXM25CTNHM7GISGVKMB3JY,COAMO,6EJS4JZJ42VXM25CTNHM7GISGVKMB3JY.html
6ERDULKUZZ6QT5EXZFTRT5K5DXILJ2HX,http://www.bsnpr.com:80/jug05.asp?r2=462766RX2H&r3=00217&r=00529&e=SANTURCE,20061211222615,6ERDULKUZZ6QT5EXZFTRT5K5DXILJ2HX,SANTURCE,6ERDULKUZZ6QT5EXZFTRT5K5DXILJ2HX.html
6GHXMDXVKSFSMOQQOW7F5LQVE73BFC46,http://www.bsnpr.com:80/jug05.asp?r2=462666RWXQ&r3=00006&e=ARECIBO,20050418012459,6GHXMDXVKSFSMOQQOW7F5LQVE73BFC46,ARECIBO,6GHXMDXVKSFSMOQQOW7F5LQVE73BFC46.html
6I6QVYLHQ5WP5JH5FDQVJEH7GPNMKJVV,http://www.bsnpr.com:80/jug05.asp?r3=00040&r2=462676RWYG&r=00019&e=,20061207193824,6I6QVYLHQ5WP5JH5FDQVJEH7GPNMKJVV,,6I6QVYLHQ5WP5JH5FDQVJEH7GPNMKJVV.html
6IXPTSWQZLSBWTLTUFY2WSHKDWVNLMH4,http://www.bsnpr.com:80/jug05.asp?r3=00160&r2=462736RX14&r=00117&e=,20070404075323,6IXPTSWQZLSBWTLTUFY2WSHKDWVNLMH4,,6IXPTSWQZLSBWTLTUFY2WSHKDWVNLMH4.html
6MAWF2L2JJQP7LXOXLBQVGEOMUCXJLED,http://www.bsnpr.com:80/jug05.asp?r=00065,20070224021044,6MAWF2L2JJQP7LXOXLBQVGEOMUCXJLED,,6MAWF2L2JJQP7LXOXLBQVGEOMUCXJLED.html
6NNY4CB6V4ROX2KOAE4EEF6UCBLGY3G3,http://www.bsnpr.com:80/jug05.asp?r2=462756RX1X&r3=00195&e=COAMO,20050501125417,6NNY4CB6V4ROX2KOAE4EEF6UCBLGY3G3,COAMO,6NNY4CB6V4ROX2KOAE4EEF6UCBLGY3G3.html
6PTVPY2MWC2PGQCVGIJG6C57HC3TPV4I,http://www.bsnpr.com:80/jug05.asp?r3=00094&r2=462706RWZK&r=00056&e=,20070404012132,6PTVPY2MWC2PGQCVGIJG6C57HC3TPV4I,,6PTVPY2MWC2PGQCVGIJG6C57HC3TPV4I.html
6PX65SYBS6NKACJRVHIPWZEVSJFWHFFJ,http://www.bsnpr.com:80/jug05.asp?r3=DRTAN&r2=NIHVRSCXDM&r=00131&e=,20061207122836,6PX65SYBS6NKACJRVHIPWZEVSJFWHFFJ,,6PX65SYBS6NKACJRVHIPWZEVSJFWHFFJ.html
6Q7XWZSQTDCW6PSAH26UEMPDSZVS3L75,http://www.bsnpr.com:80/jug05.asp?r=00069,20060618110838,6Q7XWZSQTDCW6PSAH26UEMPDSZVS3L75,,6Q7XWZSQTDCW6PSAH26UEMPDSZVS3L75.html
6SCD4WHU5NHNGIKEQVX52MBP5IZ4JTFW,http://www.bsnpr.com:80/jug05.asp?r3=VQXGQ&r2=QMJABVAHQC&r=00500&e=,20060829191659,6SCD4WHU5NHNGIKEQVX52MBP5IZ4JTFW,,6SCD4WHU5NHNGIKEQVX52MBP5IZ4JTFW.html
