obs_source,player_raw,club_raw,season,bsnpr_id,canonical_name,match_method,club_check,confidence
player_season_leaders.csv,"Jimenez, Giovanni",Indios,2009,812,"Jimenez Brain, Giovanni",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Jimenez, Giovanni",Indios,2010,812,"Jimenez Brain, Giovanni",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Johnson, DerMarr",Leones,2010,2600,"Johnson, Estadísticas Jugador",name+season_in_career,contradicts,single-source
player_season_leaders.csv,"Jones, Joel","Leones, Ponce",2007,1064,"Jones Camacho, Joel",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Jones, Joel",Piratas,2009,1064,"Jones Camacho, Joel",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Jones, Joel",Piratas,2012,1064,"Jones Camacho, Joel",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Jones, Joel",Brujos,2013,1064,"Jones Camacho, Joel",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Jones, Joel",Atleticos,2014,1064,"Jones Camacho, Joel",name+season_in_career,contradicts,single-source
player_season_leaders.csv,"Keenan, Justin",Maratonistas,2014,2824,"Keenan, Justin",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Keenan, Justin",Santeros,2018,2824,"Keenan, Justin",name+season_in_career,contradicts,single-source
player_season_leaders.csv,"Konecny, Mark",Criollos,2008,2361,"Konecny, Estadísticas Jugador",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Langhi, Dan",,2008,2469,"Langhi, Estadísticas Jugador",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Langhi, Dan",Indios,2009,2469,"Langhi, Estadísticas Jugador",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Latimer, Antonio",,2007,193,"Latimer Rivera, Antonio",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Latimer, Antonio",Brujos,2014,193,"Latimer Rivera, Antonio",name+season_in_career,contradicts,single-source
player_season_leaders.csv,"Lazor, Robert",,2007,2037,"Lazor, Robert",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Lazor, Robert",,2008,2037,"Lazor, Robert",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Life, James",Grises,2009,2466,"Life Flores, James",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Liz, Victor",Atleticos,2013,2778,"Liz, Victor",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Lloreda, José Jaime",Mets,2013,2690,"Lloreda Ferrón, José Jaime",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Looby, Kurt",Grises,2009,2576,"Looby, Estadísticas Jugador",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Lugo, Richard",Atleticos,2008,2016,"Lugo, Richard",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Mata, Lorenzo",Piratas,2013,2817,"Mata, Lorenzo",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Maye, James",Indios,2009,2563,"Maye, James",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Maye, James",Mets,2012,2563,"Maye, James",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Maye, James",Caciques,2014,2563,"Maye, James",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Melendez, Ricardo",Criollos,2008,1995,"Melendez Huertas, Ricardo",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Melendez, Ricardo",Leones,2009,1995,"Melendez Huertas, Ricardo",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Melendez, Ricardo",Leones,2010,1995,"Melendez Huertas, Ricardo",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Melendez, Ricardo",Capitanes,2012,1995,"Melendez Huertas, Ricardo",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Melendez, Ricardo",Piratas,2013,1995,"Melendez Huertas, Ricardo",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Melendez, Ricardo",Piratas,2014,1995,"Melendez Huertas, Ricardo",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Melendez, Ricardo",Piratas,2018,1995,"Melendez Huertas, Ricardo",name+season_in_career,contradicts,single-source
player_season_leaders.csv,"Melendez, Wilfredo",,1986,2287,"Melendez Velez, Wilfredo",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Mojica, Javier",Cariduros,2008,2355,"Mojica Izquierdo, Javier",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Mojica, Javier",Vaqueros,2009,2355,"Mojica Izquierdo, Javier",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Mojica, Javier",Vaqueros,2010,2355,"Mojica Izquierdo, Javier",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Mojica, Javier",Vaqueros,2012,2355,"Mojica Izquierdo, Javier",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Mojica, Javier",Vaqueros,2013,2355,"Mojica Izquierdo, Javier",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Mojica, Javier",Cangrejeros,2014,2355,"Mojica Izquierdo, Javier",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Mojica, Javier",,2018,2355,"Mojica Izquierdo, Javier",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Muoneke, Gabriel",,2009,1722,"Muoneke, Estadísticas Jugador",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Nailon, Lee",Leones,2009,2580,"Nailon, Lee",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Nailon, Lee",Piratas,2010,2580,"Nailon, Lee",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Nieves, Roberto","Grises, Humacao",2007,2067,"Nieves Perez, Roberto",name+season_in_career,confirms,single-source
player_season_leaders.csv,"O'Bryant, Patrick",Indios,2012,2742,"O'Bryant, Patrick",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Ocasio, Gerald",Indios,1986,792,"Ocasio Serrano, Gerald",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Orta, Raul",Leones,2009,1946,"Orta, Raul",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Ortiz, Andres",Mets,2010,86,"Ortiz Colon, Andres",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Ortiz, Andres",Indios,2012,86,"Ortiz Colon, Andres",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Ortiz, Andres",Indios,2013,86,"Ortiz Colon, Andres",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Ortiz, Chris",,2018,13057,"Ortiz, Chris",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Osimani, Martin",,2009,2557,"Osimani, Estadísticas Jugador",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Pagan, Wilfredo",,2007,2290,"Pagan Roque, Wilfredo",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Pagan, Wilfredo",Leones,2008,2290,"Pagan Roque, Wilfredo",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Pagan, Wilfredo",Capitanes,2009,2290,"Pagan Roque, Wilfredo",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Pagan, Wilfredo",Brujos,2012,2290,"Pagan Roque, Wilfredo",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Pagan, Wilfredo",Cangrejeros,2013,2290,"Pagan Roque, Wilfredo",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Pellot, Jesse",Atleticos,2009,2354,"Pellot Rosa, Jesse",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Penn, Kleon",Caciques,2012,2615,"Penn, Kleon",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Penn, Kleon",Caciques,2013,2615,"Penn, Kleon",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Penn, Kleon",Vaqueros,2014,2615,"Penn, Kleon",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Penn, Kleon",Caciques,2018,2615,"Penn, Kleon",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Phillip, Darren",Atleticos,2013,2832,"Phillip, Darren",name+season_in_career,contradicts,single-source
player_season_leaders.csv,"Pinnock, Danilo",Capitanes,2012,2599,"Pinnock, Danilo",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Pinnock, Danilo",Indios,2013,2599,"Pinnock, Danilo",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Pittsnogle, Kevin",,2007,2372,"Pittsnogle, Estadísticas Jugador",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Ramos, Peter John","Criollos, Caguas",2007,1836,"Ramos Fuentes, Peter John",name+season_in_career,confirms,single-source
